,Unnamed: 0,"Финална потрошувачка на домаќинствата, вклучувајќи НПИСД",Финална јавна потрошувачка,Бруто-инвестиции,Извоз на стоки и на услуги,Увоз на стоки и на услуги
109,2004Т4.1,72.8,15.2,31.1,29.5,48.6
110,2005Т1.1,82.2,19.2,10.9,36.9,49.3
111,2005Т2.1,77.4,15.8,28.6,33.5,55.4
112,2005Т3.1,84.2,15.3,12.5,37.7,49.7
113,2005Т4.1,77.6,15.2,25.1,31.8,49.7
114,2006Т1.1,86.2,18.2,13.6,34.0,52.1
115,2006Т2.1,76.3,16.9,27.4,34.9,55.5
116,2006Т3.1,79.0,15.3,17.6,44.2,56.1
117,2006Т4.1,75.9,15.9,25.5,37.6,54.9
118,2007Т1.1,81.7,18.4,15.1,45.5,60.8
119,2007Т2.1,76.7,16.5,19.8,46.5,59.5
120,2007Т3.1,75.6,15.7,24.4,44.8,60.4
121,2007Т4.1,76.3,16.8,33.1,40.4,66.5
122,2008Т1.1,82.0,19.6,23.1,45.2,70.0
123,2008Т2.1,78.6,18.5,30.8,46.3,74.2
124,2008Т3.1,78.4,16.8,26.3,49.0,70.5
125,2008Т4.1,76.2,19.5,30.6,33.9,60.2
126,2009Т1.1,79.2,21.2,29.2,30.6,60.2
127,2009Т2.1,73.5,19.7,25.7,32.6,51.5
128,2009Т3.1,77.9,18.3,17.9,37.6,51.7
129,2009Т4.1,76.6,17.5,30.2,30.4,54.7
130,2010Т1.1,79.9,20.0,17.2,34.1,51.2
131,2010Т2.1,77.0,18.1,24.2,39.7,59.0
132,2010Т3.1,73.3,17.5,23.3,43.9,58.0
133,2010Т4.1,72.7,17.8,32.0,40.6,63.1
134,2011Т1.1,76.7,20.1,28.1,47.0,71.9
135,2011Т2.1,77.1,18.3,20.7,47.0,63.2
136,2011Т3.1,72.8,17.1,26.3,50.1,66.3
137,2011Т4.1,69.6,17.3,32.3,44.5,63.8
138,2012Т1.1,77.2,20.7,25.4,45.5,68.7
139,2012Т2.1,77.9,18.8,24.8,44.4,65.9
140,2012Т3.1,70.7,17.3,29.5,46.9,64.4
141,2012Т4.1,70.6,18.1,35.2,44.7,68.6
142,2013Т1.1,80.6,20.3,19.4,42.9,63.2
143,2013Т2.1,75.4,16.9,28.2,41.8,62.3
144,2013Т3.1,67.1,16.2,30.0,45.7,59.0
145,2013Т4.1,65.6,17.1,35.9,43.1,61.7
146,2014Т1.1,70.6,18.7,29.3,44.5,63.2
147,2014Т2.1,73.0,16.6,29.9,46.6,66.1
148,2014Т3.1,68.7,15.6,29.1,50.9,64.2
149,2014Т4.1,67.1,17.7,32.6,48.3,65.8
150,2015Т1.1,70.6,17.9,26.9,47.1,62.5
151,2015Т2.1,74.3,17.1,25.5,48.9,65.8
152,2015T3.1,66.2,16.4,29.0,50.3,61.8
153,2015T4.1,64.8,16.7,39.4,48.6,69.4
154,2016T1.1,71.5,16.8,24.8,50.8,63.8
155,2016Т2.1,70.1,15.2,32.7,49.4,67.4
156,2016T3.1,63.6,14.5,33.0,53.4,64.5
157,2016T4.1,63.3,15.3,38.5,49.0,66.2
158,2017T1.1,64.8,16.1,34.7,53.8,69.3
159,2017T2.1,71.0,15.1,28.6,56.0,70.7
160,2017T3.1,65.2,13.7,29.6,56.5,65.0
161,2017T4.1,65.7,14.9,36.2,54.3,71.1
162,2018T1.1,65.4,15.1,34.0,57.4,72.0
163,2018T2.1,69.1,14.5,26.9,59.4,69.9
164,2018T3.1,65.6,13.9,27.5,62.9,69.7
165,2018Т4.1,63.5,13.8,40.4,61.5,79.1
166,2019T1.1,64.7,14.8,34.5,63.9,77.8
167,2019T2.1,67.5,14.1,29.7,61.4,72.6
168,2019T3.1,64.7,13.1,30.6,64.5,73.0
169,2019Т4.1,65.1,14.2,41.9,60.1,81.2
170,2020T1 1).1,65.9,16.5,32.3,58.8,73.6
171,2020T2 1).1,74.6,19.2,16.9,51.2,62.0
172,2020Т3 1).1,66.6,16.0,29.1,62.5,74.3
173,2020Т4 1).1,63.5,15.3,35.4,61.7,75.9
174,2021Т1 2).1,66.4,17.0,28.6,69.1,81.1
175,2021T2 2).1,70.5,17.3,27.8,68.1,83.7
176,2021Т3 2).1,64.8,16.2,31.0,67.4,79.5
177,2021Т4 2).1,62.5,14.9,45.3,60.4,83.1
178,2022T1 2).1,66.0,16.0,41.0,73.0,96.0
179,2022T2 2).1,69.0,15.0,39.0,74.0,96.0
180,2000Т1.2,0.0,0.0,0.0,0.0,0.0
181,2000Т2.2,0.0,0.0,0.0,0.0,0.0
182,2000Т3.2,0.0,0.0,0.0,0.0,0.0
183,2000Т4.2,0.0,0.0,0.0,0.0,0.0
184,2001Т1.2,38 896,10 931,11 953,17 110,21 601
185,2001Т2.2,40 616,15 309,14 625,17 464,27 684
186,2001Т3.2,46 288,14 941,3 136,17 789,23 881
187,2001Т4.2,42 867,15 842,21 344,17 930,32 858
188,2002Т1.2,45 342,13 719,15 415,17 272,30 645
189,2002Т2.2,49 849,12 018,12 295,16 580,28 036
190,2002Т3.2,52 748,11 212,7 884,18 984,27 731
191,2002Т4.2,51 550,13 723,16 101,17 278,29 393
192,2003Т1.2,47 353,10 771,16 779,15 298,28 660
193,2003Т2.2,48 151,11 795,14 816,18 137,28 185
194,2003Т3.2,53 429,11 072,9 268,17 914,26 158
195,2003Т4.2,60 060,12 364,10 277,16 888,27 042
196,2004Т1.2,51 862,12 068,9 461,18 855,30 836
197,2004Т2.2,55 711,12 407,15 306,19 219,36 051
198,2004Т3.2,59 520,11 342,10 032,25 221,35 712
199,2004Т4.2,63 239,12 426,22 362,23 789,38 967
200,2005Т1.2,52 717,12 359,6 954,21 297,29 771
201,2005Т2.2,58 239,12 103,19 574,24 875,43 229
202,2005Т3.2,65 048,11 741,8 115,27 902,38 550
203,2005Т4.2,67 782,13 225,18 999,27 595,42 926
204,2006Т1.2,61 166,12 850,11 404,25 204,37 094
205,2006Т2.2,62 402,13 597,20 352,28 886,44 352
206,2006Т3.2,65 046,12 297,13 819,34 867,44 336
207,2006Т4.2,67 952,13 782,21 444,31 433,46 426
208,2007Т1.2,65 882,14 297,16 653,34 763,51 173
209,2007Т2.2,69 257,14 175,14 046,33 708,43 877
210,2007Т3.2,72 448,13 989,20 747,39 217,55 402
211,2007Т4.2,77 251,14 891,29 715,36 304,60 376
212,2008Т1.2,70 584,16 604,19 304,36 960,57 168
213,2008Т2.2,74 462,16 980,25 151,39 776,61 340
214,2008Т3.2,76 658,15 702,24 982,43 931,60 136
215,2008Т4.2,80 513,19 747,38 733,36 161,64 310
216,2009Т1.2,74 991,20 303,30 154,36 042,68 648
217,2009Т2.2,74 183,20 977,29 216,42 184,63 353
218,2009Т3.2,79 884,17 626,20 548,41 065,53 760
219,2009Т4.2,86 289,18 320,35 285,35 133,63 037
220,2010Т1.2,80 016,18 858,18 398,33 135,49 614
221,2010Т2.2,83 958,18 594,27 008,42 148,64 409
222,2010Т3.2,83 828,19 131,24 607,49 684,66 371
223,2010Т4.2,82 426,19 642,32 660,43 261,68 412
224,2011Т1.2,74 731,20 143,31 660,46 225,68 474
225,2011Т2.2,81 057,20 597,25 382,49 756,64 515
226,2011Т3.2,77 821,19 585,31 253,54 929,69 320
227,2011Т4.2,79 031,20 612,37 887,51 169,72 001
228,2012Т1.2,80 743,21 399,32 499,49 284,75 521
229,2012Т2.2,90 214,21 570,31 421,53 805,80 859
230,2012Т3.2,88 066,21 104,32 522,61 663,85 543
231,2012Т4.2,88 171,22 086,41 205,58 263,90 021
232,2013Т1.2,84 417,20 553,25 734,45 968,64 739
233,2013Т2.2,92 963,21 479,34 732,55 393,83 306
234,2013Т3.2,86 654,22 162,33 576,63 095,82 267
235,2013Т4.2,87 236,23 261,41 627,60 212,88 398
236,2014Т1.2,86 690,22 772,38 177,53 314,77 483
237,2014Т2.2,97 419,22 358,41 329,61 844,89 931
238,2014Т3.2,90 993,21 040,38 755,68 686,87 609
239,2014Т4.2,92 887,24 340,41 755,69 852,97 082
240,2015Т1.2,89 601,22 611,40 286,58 001,81 446
241,2015Т2.2,101 782,23 369,37 328,68 340,94 649
242,2015T3.2,95 602,23 330,39 222,73 669,91 641
243,2015T4.2,97 643,24 514,56 231,72 789,108 608
244,2016T1.2,91 987,22 643,43 115,65 587,89 816
245,2016Т2.2,102 467,21 875,48 155,71 967,102 046
246,2016T3.2,101 463,21 936,44 981,82 070,102 860
247,2016T4.2,103 805,23 797,54 986,77 538,108 777
248,2017T1.2,92 512,22 561,52 730,70 385,94 718
249,2017T2.2,105 582,22 058,42 276,79 078,101 255
